layer1,layer2,layer3,layer4
0.8178912997245789,2.024791955947876,3.5994255542755127,3.584534168243408
0.7676478624343872,1.8721253871917725,3.2575926780700684,3.1563568115234375
0.841446042060852,1.962712049484253,3.405921220779419,3.324852466583252
0.7846436500549316,1.8084473609924316,3.1377973556518555,3.0862581729888916
0.7731043696403503,1.8857375383377075,3.3742315769195557,3.3287909030914307
0.793832004070282,2.006035804748535,3.5533933639526367,3.5066072940826416
0.8354548811912537,1.9604895114898682,3.4608843326568604,3.3916056156158447
0.766645073890686,1.8052407503128052,3.136056423187256,3.169694662094116
0.7796092629432678,1.834219217300415,3.1785242557525635,3.0252578258514404
0.7755710482597351,1.8570919036865234,3.3164563179016113,3.2004270553588867
0.8076586127281189,1.957696795463562,3.418639898300171,3.342160224914551
0.7910784482955933,1.988059163093567,3.5699713230133057,3.5495479106903076
0.7923665046691895,1.9636391401290894,3.4313135147094727,3.3635566234588623
0.8106684684753418,1.9368637800216675,3.4061388969421387,3.362006902694702
0.8170592188835144,1.8566323518753052,3.2600128650665283,3.2090022563934326
0.7250608205795288,1.8469858169555664,3.23089861869812,3.199770927429199
0.8189485669136047,1.971592903137207,3.439399480819702,3.390720844268799
0.7785099148750305,1.9347100257873535,3.453117847442627,3.4557602405548096
0.7880659103393555,1.8499788045883179,3.1693358421325684,3.0508346557617188
0.7571139931678772,1.877148151397705,3.353430986404419,3.4077398777008057
0.8296874761581421,1.9645435810089111,3.5155999660491943,3.475163459777832
0.7293044924736023,1.808654546737671,3.146218776702881,3.087895393371582
0.7789941430091858,1.8281453847885132,3.2375199794769287,3.1810853481292725
0.803861677646637,1.958762288093567,3.4039833545684814,3.309605598449707
0.7319733500480652,1.8298633098602295,3.192490577697754,3.2101778984069824
0.7951675653457642,1.9360705614089966,3.3698182106018066,3.339958667755127
0.8135371804237366,1.997490406036377,3.5307209491729736,3.4482080936431885
0.8285349607467651,1.9219191074371338,3.403353214263916,3.2535996437072754
0.8125038743019104,1.913791298866272,3.4768588542938232,3.429892063140869
0.7847606539726257,1.865291714668274,3.2120790481567383,3.1353678703308105
0.7747675180435181,1.8506454229354858,3.285900831222534,3.232443332672119
0.777259111404419,1.8181977272033691,3.2218518257141113,3.2082364559173584
0.8422855734825134,2.0567009449005127,3.556661367416382,3.460137367248535
0.7693693041801453,1.9245847463607788,3.417518138885498,3.4457035064697266
0.8134427666664124,1.954034686088562,3.4833784103393555,3.427231788635254
